Genus,Species,Family,Species_name,Biomass Constant A,Biomass Constant B,Biomass Constant C,Max Length (cm),Max Length Type,Trophic Level,Vulnerability,Regions,Climate Score,Trophic Group,Functional Group,Group Size
Cheilodactylus,nigripes,Cheilodactylidae,Cheilodactylus nigripes,0.0123,3.02,1,41,total length,3.06,45.94,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,omnivore,macro-invertivore,solitary
Elacatinus,horsti,Gobiidae,Elacatinus horsti,0.00871,3.09,1,5,total length,3.5,10,Tropical Atlantic,,invertivore-sessile,micro-invertivore,small group
Choeroichthys,sculptus,Syngnathidae,Choeroichthys sculptus,0.00049,3.1,1,8.5,total length,3.2,10,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,
Manonichthys,splendens,Pseudochromidae,Manonichthys splendens,0.01995,3.01,1,13,total length,3.7,10,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,pair
Ecsenius,axelrodi,Blenniidae,Ecsenius axelrodi,0.00741,3,1,5.8,total length,2,12,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-detritivore,cropper/grazer,small group
Apogon,doryssa,Apogonidae,Apogon doryssa,0.01549,3.07,1,8,total length,3.5,10,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,solitary
Pictilabrus,brauni,Labridae,Pictilabrus brauni,0.00977,3.05,1,7.4,standard length,3.3,15,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,small group
Pentapodus,aureofasciatus,Nemipteridae,Pentapodus aureofasciatus,0.01514,2.97,1,25,total length,3.5,24.26,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,small group
Epinephelus,trimaculatus,Serranidae,Epinephelus trimaculatus,0.01148,3.04,1,50,total length,4,42.39,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,
Carangoides,equula,Carangidae,Carangoides equula,0.050153,2.745133,1,50,fork length,4.02,32.33,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,small group
Canthigaster,flavoreticulata,Tetraodontidae,Canthigaster flavoreticulata,0.02818,2.094,1,,,3.1,10,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,omnivore,micro-invertivore,solitary
Gymnocranius,superciliosus,Lethrinidae,Gymnocranius superciliosus,0.01778,2.97,1,43,standard length,3.2,,"Central Indo-Pacific,Western Indo-Pacific,Eastern Indo-Pacific",,invertivore-sessile,micro-invertivore,
Decapterus,macarellus,Carangidae,Decapterus macarellus,0.00783,3.14,1,46,total length,3.24,19.87,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,medium group
Oxymonacanthus,longirostris,Monocanthidae,Oxymonacanthus longirostris,0.01047,3.05,1,12,total length,3.34,20.07,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-sessile,corallivore,pair
Parupeneus,louise,Mullidae,Parupeneus louise,0.01202,3.09,1,23,standard length,3.4,29.64,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,small group
Cantherhines,nukuhiva,Monocanthidae,Cantherhines nukuhiva,0.02188,2.91,1,,,3.1,35.2,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,
Siganus,guttatus,Siganidae,Siganus guttatus,0.054842,2.662305,1,42,total length,2.68,18.74,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-detritivore,cropper/grazer,large group
Plectranthias,anthioides,Serranidae,Plectranthias anthioides,0.00933,2.97,1,25,total length,3.95,29.29,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,small group
Haemulon,parra,Haemulidae,Haemulon parra,0.017978,2.995403,1,41.2,total length,3.9,37.43,Tropical Atlantic,,piscivore,pisci-invertivore,large group
Ostorhinchus,flavus,Apogonidae,Ostorhinchus flavus,0.01096,3.11,1,9.59,standard length,3.6,12.93,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,small group
Pervagor,aspricaudus,Monocanthidae,Pervagor aspricaudus,0.02188,2.91,1,13,total length,2.9,21.39,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,omnivore,micro-invertivore,
Notolabrus,gymnogenis,Labridae,Notolabrus gymnogenis,0.01995,2.99,1,23,standard length,3.5,37.66,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,solitary
Sargocentron,ensifer,Holocentridae,Sargocentron ensifer,0.0166,2.97,1,23,standard length,4.02,22.19,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,small group
Batrachoides,surinamensis,Batrachoididae,Batrachoides surinamensis,0.011643,3.100704,1,57,total length,3.66,48.74,Tropical Atlantic,,invertivore-mobile,macro-invertivore,solitary
Lutjanus,lemniscatus,Lutjanidae,Lutjanus lemniscatus,0.01445,2.98,1,65,total length,3.98,40.18,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,,macro-invertivore,small group
Ariopsis,felis,Ariidae,Ariopsis felis,0.00208,3.447,1,70,total length,3.2,56.46,Tropical Atlantic,,invertivore-mobile,macro-invertivore,medium group
Orectolobus,ornatus,Orectolobidae,Orectolobus ornatus,0.00389,3.12,1,290,total length,3.98,59.88,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,
Chaetodon,octofasciatus,Chaetodontidae,Chaetodon octofasciatus,0.02291,3.01,1,12,total length,2.64,10,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-sessile,corallivore,pair
Chaetodon,assarius,Chaetodontidae,Chaetodon assarius,0.02291,3.01,1,13,total length,2.65,10,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,omnivore,micro-invertivore,medium group
Girella,cyanea,Kyphosidae,Girella cyanea,0.01549,3.06,1,20,standard length,2,30.97,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-macroalgae,browser,small group
Carcharhinus,tilstoni,Carcharhinidae,Carcharhinus tilstoni,0.00468,3.1,1,200,total length,4.2,70,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,piscivore,large group
Chromis,opercularis,Pomacentridae,Chromis opercularis,0.01479,2.98,1,17,total length,2.72,28.25,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,medium group
Cirrhitichthys,aprinus,Cirrhitidae,Cirrhitichthys aprinus,0.01585,3.01,1,12.5,total length,3.49,10,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,small group
Carcharhinus,brachyurus,Carcharhinidae,Carcharhinus brachyurus,0.00468,3.1,1,325,total length,4.5,86.7,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,solitary
Scolopsis,xenochroa,Nemipteridae,Scolopsis xenochroa,0.0182,2.98,1,22,total length,3.36,22.47,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,small group
Acreichthys,tomentosus,Monocanthidae,Acreichthys tomentosus,0.011,3.242,1,12,total length,2.97,15.57,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,omnivore,micro-invertivore,
Pseudochromis,fuscus,Pseudochromidae,Pseudochromis fuscus,0.00501,3.11,1,10,total length,3.5,10,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,small group
Tomiyamichthys,latruncularius,Gobiidae,Tomiyamichthys latruncularius,0.00617,3.01,1,10,total length,3.4,21.88,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,
Ctenochaetus,cyanocheilus,Acanthuridae,Ctenochaetus cyanocheilus,0.02344,2.97,1,16,standard length,2,20.48,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,omnivore,detritivore,small group
Cephalopholis,oligosticta,Serranidae,Cephalopholis oligosticta,0.01259,3.05,1,30,total length,4.1,32.04,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,
Cryptotomus,roseus,Scaridae,Cryptotomus roseus,0.0078,3.2752,1,13,total length,2,11.03,Tropical Atlantic,,herbivore-macroalgae,browser,small group
Nebris,microps,Sciaenidae,Nebris microps,0.009195,3.072495,1,40,total length,3.6,29.11,Tropical Atlantic,,invertivore-mobile,macro-invertivore,large group
Chromis,ovatiformes,Pomacentridae,Chromis ovatiformes,0.01778,2.99,1,10,total length,3.4,20.93,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,medium group
Caesio,cuning,Caesioinidae,Caesio cuning,0.00834,3.12133,1,60,total length,3.4,35.47,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,large group
Heteroconger,hassi,Congridae,Heteroconger hassi,0.00102,3.06,1,40,total length,3.4,32.98,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,large group
Chromis,xouthos,Pomacentridae,Chromis xouthos,0.01778,2.99,1,9.2,standard length,3,24,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,medium group
Antennarius,commerson,Antennariidae,Antennarius commerson,0.01995,3.01,1,45,total length,4.2,23.35,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,piscivore,solitary
Gymnothorax,nudivomer,Muraenidae,Gymnothorax nudivomer,0.00095,3.1,1,180,total length,4.5,81.41,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,piscivore,
Pristis,pectinata,Pristidae,Pristis pectinata,0.00171,3.15,1,760,total length,4.5,86.03,Tropical Atlantic,,piscivore,piscivore,solitary
Eubalichthys,gunnii,Monocanthidae,Eubalichthys gunnii,0.02188,2.91,1,60,total length,2.8,54.77,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,
Stellifer,rastrifer,Sciaenidae,Stellifer rastrifer,0.007291,3.192054,1,20,total length,3.5,16.13,Tropical Atlantic,,invertivore-mobile,macro-invertivore,medium group
Parma,unifasciata,Pomacentridae,Parma unifasciata,0.00239,2.99,1,18,standard length,2.67,34.92,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-detritivore,cropper/grazer,
Holocentrus,rufus,Holocentridae,Holocentrus rufus,0.0256,2.6394,1,35,total length,3.51,19.05,Tropical Atlantic,,invertivore-mobile,macro-invertivore,small group
Paragobiodon,echinocephalus,Gobiidae,Paragobiodon echinocephalus,0.01995,3.01,1,4,total length,3.2,10,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,small group
Rudarius,ercodes,Monocanthidae,Rudarius ercodes,0.02922,2.873,1,7.5,total length,3.09,11.5,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,small group
Pomacentrus,cheraphilus,Pomacentridae,Pomacentrus cheraphilus,0.01,3.04,1,6.1,standard length,2.7,15,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-detritivore,cropper/grazer,small group
Premnas,biaculeatus,Pomacentridae,Premnas biaculeatus,0.02754,3.01,1,17,total length,2.75,28.25,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,small group
Selar,crumenophthalmus,Carangidae,Selar crumenophthalmus,0.005496,3.259806,1,70,total length,3.57,39.44,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,large group
Pomatomus,saltatrix,Pomatomidae,Pomatomus saltatrix,0.015748,2.872803,1,130,total length,4.53,57.63,"Central Indo-Pacific,Eastern Indo-Pacific,Tropical Atlantic,Tropical Eastern Pacific,Western Indo-Pacific",,piscivore,piscivore,large group
Labroides,pectoralis,Labridae,Labroides pectoralis,0.00447,3.14,1,11,total length,3.99,19.9,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,solitary
Muraenesox,bagio,Muraenesocidae,Muraenesox bagio,0.002913,2.800589,0.98,200,total length,3.99,71,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,
Chlorurus,troschelii,Scaridae,Chlorurus troschelii,0.01413,3.04,1,34.6,total length,2,27.42,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-detritivore,excavator,solitary
Epinephelus,areolatus,Serranidae,Epinephelus areolatus,0.023307,2.934305,1,47,total length,3.9,35.95,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,
Halichoeres,melas,Labridae,Halichoeres melas,0.01,3.08,1,12.1,standard length,3.4,25,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,solitary
Symphurus,tessellatus,Cynoglossidae,Symphurus tessellatus,0.004121,3.207036,1,22,standard length,3.6,37.92,Tropical Atlantic,,invertivore-mobile,macro-invertivore,small group
Cetoscarus,bicolor,Scaridae,Cetoscarus bicolor,0.0276,2.92,1,50,standard length,2,50.82,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-detritivore,excavator,small group
Cephalopholis,boenak,Serranidae,Cephalopholis boenak,0.014562,3.024733,1,30,total length,4.07,31.04,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,
Chlorurus,gibbus,Scaridae,Chlorurus gibbus,0.021734,3.012728,1,70,total length,2.68,39.46,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,omnivore,excavator,small group
Pomadasys,argenteus,Haemulidae,Pomadasys argenteus,0.011917,3.070415,1,70,total length,3.6,37.61,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,small group
Pseudanthias,hutomoi,Serranidae,Pseudanthias hutomoi,0.00933,2.97,1,12,total length,3.4,16.74,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,small group
Pomacentrus,reidi,Pomacentridae,Pomacentrus reidi,0.02344,2.99,1,9,total length,2.6,18.89,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,small group
Stegastes,planifrons,Pomacentridae,Stegastes planifrons,0.0379,2.857,0.863,13,total length,2.82,23.52,Tropical Atlantic,,omnivore,cropper/grazer,medium group
Caranx,latus,Carangidae,Caranx latus,0.0417,2.79,0.89,101,fork length,4.2,59,Tropical Atlantic,,piscivore,pisci-invertivore,medium group
Amblyeleotris,fontanesii,Gobiidae,Amblyeleotris fontanesii,0.00617,3.08,1,25,standard length,3.6,42.23,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,
Nemateleotris,magnifica,Microdesmidae,Nemateleotris magnifica,0.00389,3.12,1,9,total length,3.1,10,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,small group
Genyatremus,luteus,Haemulidae,Genyatremus luteus,0.020338,3.017105,1,37,total length,3.5,34.74,Tropical Atlantic,,invertivore-mobile,macro-invertivore,medium group
Carcharhinus,brevipinna,Carcharhinidae,Carcharhinus brevipinna,0.003619,3.088491,1,300,total length,4.5,62.25,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,piscivore,small group
Ostorhinchus,luteus,Apogonidae,Ostorhinchus luteus,0.01096,3.11,1,4.42,standard length,3.55,10,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,small group
Upeneus,vittatus,Mullidae,Upeneus vittatus,0.006244,3.312449,1,28,total length,3.87,25.13,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,medium group
Chaetodon,dialeucos,Chaetodontidae,Chaetodon dialeucos,0.02291,3.01,1,18,total length,3.3,13.79,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,pair
Chaetodon,declivis,Chaetodontidae,Chaetodon declivis,0.02291,3.01,1,12,total length,3.3,10,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,small group
Abudefduf,whitleyi,Pomacentridae,Abudefduf whitleyi,0.0138,3.09268,1,14,standard length,2.64,30.38,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,omnivore,planktivore,medium group
Scarus,collana,Scaridae,Scarus collana,0.01445,3.04,1,33,total length,2,26.49,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-detritivore,scraper,solitary
Epinephelus,chabaudi,Serranidae,Epinephelus chabaudi,0.01148,3.04,1,137,total length,4.1,77.19,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,piscivore,
Centropyge,joculator,Pomacanthidae,Centropyge joculator,0.0302,2.89,1,9,total length,2.76,14.21,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-detritivore,cropper/grazer,pair
Notolabrus,parilus,Labridae,Notolabrus parilus,0.01995,2.99,1,,,3.6,51.75,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,solitary
Dasyatis,brevis,Dasyatidae,Dasyatis brevis,0.00776,3.02,1,187,total length,3.84,75.76,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,medium group
Ostorhinchus,komodoensis,Apogonidae,Ostorhinchus komodoensis,0.01218,3.1,1,10,standard length,3.6,13,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,medium group
Cheilodipterus,artus,Apogonidae,Cheilodipterus artus,0.00289,3.59016,1,18.7,standard length,4.14,24.79,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,small group
Lethrinus,mahsena,Lethrinidae,Lethrinus mahsena,0.011334,3.121525,1,65,total length,3.43,64.89,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,small group
Mulloidichthys,martinicus,Mullidae,Mulloidichthys martinicus,0.0123,3.11,0.901,39.4,total length,3.5,31.82,Tropical Atlantic,,invertivore-mobile,macro-invertivore,medium group
Balistes,vetula,Balistidae,Balistes vetula,0.018559,2.90135,1,60,total length,3.8,53.73,Tropical Atlantic,,invertivore-mobile,macro-invertivore,solitary
Kyphosus,azureus,Kyphosidae,Kyphosus azureus,0.0194,3.23,0.873362,45,total length,2,41,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-macroalgae,browser,small group
Elacatinus,serranilla,Gobiidae,Elacatinus serranilla,0.00871,3.09,1,3.46,standard length,3.4,10.53,Tropical Atlantic,,invertivore-sessile,micro-invertivore,small group
Pseudocoris,bleekeri,Labridae,Pseudocoris bleekeri,0.01,3.06,1,15,total length,3.4,24,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,medium group
Rabaulichthys,altipinnis,Serranidae,Rabaulichthys altipinnis,0.00389,3.12,1,6,total length,3.2,10,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,small group
Sargocentron,tiereoides,Holocentridae,Sargocentron tiereoides,0.0166,2.97,1,19.5,total length,3.55,14.21,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,small group
Hyporhamphus,acutus,Hemiramphidae,Hyporhamphus acutus,0.0034,4.11,0.96,30,total length,3,19,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,omnivore,planktivore,medium group
Aplodactylus,lophodon,Aplodactylidae,Aplodactylus lophodon,0.00468,3.13,1,45,standard length,2,41.9,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-detritivore,cropper/grazer,small group
